y_id,year,5yr,10yr,20yr
0,1960,0,0,0
1,1961,0,0,0
2,1962,0,0,0
3,1963,0,0,0
4,1964,0,0,0
5,1965,1,0,0
6,1966,1,0,0
7,1967,1,0,0
8,1968,1,0,0
9,1969,1,0,0
10,1970,2,1,0
11,1971,2,1,0
12,1972,2,1,0
13,1973,2,1,0
14,1974,2,1,0
15,1975,3,1,0
16,1976,3,1,0
17,1977,3,1,0
18,1978,3,1,0
19,1979,3,1,0
20,1980,4,2,1
21,1981,4,2,1
22,1982,4,2,1
23,1983,4,2,1
24,1984,4,2,1
25,1985,5,2,1
26,1986,5,2,1
27,1987,5,2,1
28,1988,5,2,1
29,1989,5,2,1
30,1990,6,3,1
31,1991,6,3,1
32,1992,6,3,1
33,1993,6,3,1
34,1994,6,3,1
35,1995,7,3,1
36,1996,7,3,1
37,1997,7,3,1
38,1998,7,3,1
39,1999,7,3,1
40,2000,8,4,2
41,2001,8,4,2
42,2002,8,4,2
43,2003,8,4,2
44,2004,8,4,2
45,2005,9,4,2
46,2006,9,4,2
47,2007,9,4,2
48,2008,9,4,2
49,2009,9,4,2
50,2010,10,5,2
51,2011,10,5,2
52,2012,10,5,2
53,2013,10,5,2
54,2014,10,5,2
55,2015,11,5,2
56,2016,11,5,2
57,2017,11,5,2
58,2018,11,5,2
59,2019,11,5,2
